chrom	chromStart	chromEnd	gene symbol	strand	known	UCSC_cassette	NR	Under selection	UI len	exon len	DI len	minEvi (noEST)	inclusion	match known exon	overlap known exon	overlap CDS	AG/GU in hg19	hg19.cass	NMD classification	intron.phyloP	wobble.phyloP	GMM FDR
chr1	152768862	152775575	Arpc5	+	1	cassetteExon_503	1	0	2430	177	2719	191	0.990595766	1	1	1	1		NMD_in	0.0381181	0.669407	0.773
chr4	126905871	126911002	Zmym4	-	1	cassetteExon_7778	1	0	4153	116	373	39	0.592855267	1	1	1	1		NMD_in	0.540782	1.17605	0.246
chr1	153665835	153670884	Rgs8	+	1		1	0	1908	129	2829	827	0.805914105	1	1	1	1	CA-85397-4276-6180-6309-8959[INC][11/6]	NMD_in	0.126185	1.02335	0.634
chr3	96754334	96758034	Rnf115	+	1		1	0	759	52	2772	20	0.002622329	1	1	NA	1	CA-27246-38138-39980-40032-42447[INC][2/45]	NMD_in	0.5948275	1.34676	0.165
chr16	38585175	38586408	Tmem39a	+	1		1	1	100	62	540	442	0.376805613	1	1	NA	1	CA-sr-chr3r-2071[INC][84|80/95]	NMD_in	1.048335	2.2551	0.000298
chr7	67545365	67618130	Lrrc28	-	1	cassetteExon_9916	1	0	58023	112	14389	247	0.877328036	1	1	1	1	CA-123355-39505-85571-85683-103922[INC][5/2]	NMD_in	0.743972	0.632297	0.0208
chr5	67260963	67263824	Tmem33	+	1		1	0	1444	177	1075	20	0.004199916	1	1	NA	1		NMD_in	0.1571615	-0.0784643	0.675
chr15	76077600	76080885	Puf60	-	1		1	0	1523	100	1524	80	0.01317844	1	1	NA	1		NMD_in	-0.098772	-0.293061	0.812
chr2	162931993	162933550	Srsf6	+	1		1	1	672	268	343	381	0.13167687	1	1	NA	1	CA-6431-3646-4289-4557-4907[INC][4/118]	NMD_in	1.825595	2.29426	4.60E-12
chr11	101099672	101101059	Fam134c	-	1	cassetteExon_1875	1	0	715	118	333	20	0.003019083	1	1	NA	1		NMD_in	0.0636625	0.249487	0.817
chr9	64147269	64149427	Zwilch	-	1		1	0	64	69	1859	0	0.004840271	1	1	NA	1		NMD_in	0.0226445	0.197391	0.828
chr6	113378175	113384177	Arpc4	+	1	cassetteExon_9217	1	0	3754	112	2007	26	0.998430094	1	1	1	1	CA-sr-chr3f-253[INC][7|26109/3]	NMD_in	0.0552523	0.856632	0.708
chr17	25864593	25868543	Fam195a	-	1		1	0	2746	133	813	200	0.132956879	1	1	NA	1	CA-84331-3401-7623-7760-8568[INC][11/34]	NMD_in	0.2407665	1.19195	0.526
chr8	83720956	83721852	Ddx39	+	1		1	0	325	59	209	329	0.078033762	1	1	NA	1	CA-10212-11395-11778-11836-12049[INC][7/200]	NMD_in	0.295696	1.0102	0.573
chr4	127054207	127059031	Zmym1	-	1		1	0	1199	193	3018	319	0.673657289	1	1	NA	1		NMD_in	0.3435455	0.617766	0.563
chr4	127051274	127054382	Zmym1	-	1	cassetteExon_7780	1	0	178	54	2550	1	0.004155648	1	1	NA	1		NMD_in	0.4483565	0.2895	0.289
chr12	100923179	100929065	Ccdc88c	-	1	cassetteExon_2354	1	0	3176	439	1843	117	0.058081945	1	1	1	1	CA-440193-131740-135008-135450-137327[INC][5/3]	NMD_in	0.2655025	0.744945	0.662
chr4	138434692	138442265	Mul1	+	1		1	0	3362	121	588	72	0.969645868	1	1	1	1		NMD_in	-0.15240655	0.2539	0.817
chr1	134296782	134299468	Ppfia4	-	1	cassetteExon_436	1	0	154	111	197	482	0.21492228	1	1	1	1	CA-sr-chr1f-7349[INC][1732|1782/1063]	NMD_in	0.25124725	0.897118	0.643
chr5	20807403	20813296	Phtf2	-	1		1	1	246	53	5467	0	0	1	1	1	1		NMD_in	0.75587	1.9845	0.0178
chr4	117251988	117265975	Tmem53	+	1	cassetteExon_7700	1	0	493	86	13146	5	0.012594458	1	1	1	1		NMD_in	0.061815	-0.208759	0.739
chr2	69993675	70000543	Ubr3	+	1	cassetteExon_5883	1	1	5272	134	1239	136	0.024297586	1	1	NA	1	CA-sr-chr2f-4504[INC][24|28/4084]	NMD_in	1.55218	2.1968	1.02E-08
chrX	164436993	164445808	Asb11	+	1		1	0	781	213	7509	88	0.71147541	1	1	1	1		NMD_in	0.482417	0.900676	0.346
chr18	49700258	49728459	Dtwd2	-	1	cassetteExon_5093	1	0	4161	95	23725	28	0.907894737	1	1	1	1		NMD_in	0.25678	0.407645	0.671
chr4	41235516	41251671	Ubap2	-	1		1	0	6042	37	9861	386	0.105248844	1	1	NA	1	CA-55833-34900-40285-40323-53085[INC][21/55]	NMD_in	0.313795	0.902385	0.584
chr5	116453408	116467588	Srrm4	-	1	cassetteExon_8599	1	1	12743	16	959	163	0.156263452	1	1	1	1	CA-sr-chr12f-3941[INC][100|114/1120]	NMD_in	1.33516	2.30767	1.66E-06
chr3	88365027	88365802	Paqr6	+	1		1	0	123	76	372	0	0.00462963	1	1	NA	1		NMD_in	-0.11554105	-0.3632	0.802
chrX	38600654	38602081	Mcts1	+	1		1	0	573	46	531	645	0.264757796	1	1	1	1	CA-sr-chrXf-1829[INC][4|2346/2503]	NMD_in	0.91443	1.38673	0.00437
chr9	123089031	123100592	Zdhhc3	-	1	cassetteExon_11628	1	0	1288	52	9766	704	0.139464824	1	1	1	1		NMD_in	-0.065835	-0.361824	0.783
chr11	80431704	80438375	Psmd11	+	1		1	0	2711	63	3670	23	0.00290213	1	1	NA	1		NMD_in	0.4996025	1.17733	0.301
chr11	80438250	80445313	Psmd11	+	1		1	1	145	110	6611	54	0.009019382	1	1	NA	1	CA-sr-chr17f-1741[INC][6|12/4690]	NMD_in	0.893266	2.22095	0.00234
chr3	158023242	158026858	Srsf11	-	1	cassetteExon_7268	1	1	2493	109	763	209	0.304347826	1	1	1	1	CA-9295-25874-28413-28522-29177[INC][1/7]	NMD_in	2.38276	2.69875	2.57E-20
chr18	53245738	53327495	Snx24	+	1		1	0	54890	47	26622	8	0.00669145	1	1	NA	1		NMD_in	-0.1633575	-0.283467	0.822
chr3	51266752	51308215	Elf2	-	1	cassetteExon_6790	1	0	8164	103	32916	414	0.121892638	1	1	NA	1	CA-sr-chr4r-735[INC][97|190/318]	NMD_in	0.81123	1.34549	0.0198
chr10	69249624	69266372	Rhobtb1	+	1	cassetteExon_984	1	1	11458	59	4941	65	0.150802139	1	1	NA	1	CA-sr-chr10r-2569[INC][128|101/518]	NMD_in	1.141203	1.83465	9.14E-05
chr1	53185214	53187617	1700019A02Rik	-	1		1	0	95	131	2037	0	NA	1	1	NA	1		NMD_in	-0.099568	-0.349568	0.8
chr6	87269242	87282767	Antxr1	-	1	cassetteExon_9122	1	0	11906	26	1451	149	0.217492711	1	1	NA	1	CA-sr-chr2f-2039[INC][24|27/763]	NMD_in	0.3985065	1.09889	0.442
chr12	110779295	110795022	Wdr20a	+	1		1	0	9699	60	3876	7	0.005634736	1	1	NA	1		NMD_in	-0.0208125	-0.43565	0.724
chr15	58928683	58933738	Tatdn1	-	1		1	0	2647	120	2162	3	0.001528273	1	1	NA	1		NMD_in	0.1708175	-0.031625	0.675
chr4	125102838	125108356	Meaf6	+	1	cassetteExon_7764	1	1	4620	58	613	221	0.695682944	1	1	1	1	CA-64769-15960-21159-21217-21845[INC][14/90]	NMD_in	1.909495	2.64205	7.12E-13
chr10	24870663	24873597	Med23	+	1	cassetteExon_847	1	0	87	81	2553	1	0.000607533	1	1	NA	1		NMD_in	0.065807	-0.28937	0.702
chr11	120465225	120466767	Arl16	-	1		1	0	554	116	162	235	0.944253351	1	1	1	1		NMD_in	-0.260775	-0.106	0.811
chr17	65829374	65831092	Ppp4r1	+	1		1	1	323	120	1006	70	0.088800455	1	1	NA	1	CA-9989-54225-54558-54681-55527[INC][1/32]	NMD_in	0.546725	1.7403	0.123
chr15	58096576	58097385	Atad2	-	1		1	0	120	99	327	1	0.000877193	1	1	NA	1		NMD_in	-0.026881065	0.054303	0.834
chr16	15581058	15594501	Ube2v2	-	1		1	0	701	68	12483	7	0.026045777	1	1	NA	1		NMD_in	0.20794	-0.230087	0.506
chr6	35205324	35208180	Nup205	+	1	cassetteExon_8888	1	0	585	100	1861	102	0.069945704	1	1	NA	1		NMD_in	0.5323425	1.56806	0.179
chr3	86786149	86792111	Dclk2	-	1	cassetteExon_6866	1	0	2504	82	1996	101	0.042157235	1	1	NA	1	CA-166614-174411-178200-178283-180746[INC][1/6][DNT]	NMD_in	-0.0020775	0.766296	0.731
chr3	95848914	95851693	Prpf3	-	1		1	1	1772	96	633	353	0.121667806	1	1	NA	1	CA-9129-7412-9088-9184-9851[INC][22/178]	NMD_in	1.464035	2.50934	1.02E-07
chr11	43682437	43705477	Pwwp2a	+	1	cassetteExon_1460	1	0	864	745	20308	131	0.103877103	1	1	NA	1		NMD_in	0.25158	0.480025	0.686
chr8	74999812	75001584	Hmgxb4	+	1	cassetteExon_10688	1	1	107	115	536	933	0.389250814	1	1	NA	1	CA-10042-9423-9530-9645-10196[INC][30/27]	NMD_in	1.4068925	2.46418	3.53E-07
chr11	94013622	94036670	Spag9	+	1	cassetteExon_1818	1	1	11173	81	11602	192	0.04756745	1	1	NA	1	CA-sr-chr17r-1737[INC][41|30/1239]	NMD_in	0.9345085	2.23667	0.00144
chr18	12750659	12755140	Cabyr	+	1	cassetteExon_4956	1	0	2032	603	600	0	1	1	1	1	1		NMD_in	0.4916117	1.02737	0.329
chr4	103115559	103127297	Mier1	+	1	cassetteExon_7607	1	1	2578	77	8957	380	0.754601227	1	1	1	1	CA-57708-4348-6992-7069-18133[INC][5/13]	NMD_in	1.175095	2.34496	3.38E-05
chr2	20853037	20855040	Arhgap21	-	1	cassetteExon_5636	1	1	702	275	888	3765	0.504495277	1	1	NA	1	CA-57584-135444-136189-136463-137366[INC][1/22]	NMD_in	1.48373	1.61974	2.21E-08
chr9	40686242	40761058	9030425E11Rik	+	1		1	0	50938	76	23527	3	0.003189793	1	1	NA	1		NMD_in	0.270537	0.466731	0.659
chr10	127481692	127484218	R3hdm2	+	1		1	0	704	109	1368	22	0.002626204	1	1	NA	1		NMD_in	0.3151325	0.363111	0.569
chr3	95750700	95753130	Tars2	-	1	cassetteExon_7000	1	0	2022	118	101	8	0.890263583	1	1	1	1		NMD_in	0.1354635	0.3336	0.783
chr3	95746032	95748140	Tars2	-	1	cassetteExon_6998	1	0	1344	163	364	76	0.941039566	1	1	1	1		NMD_in	-0.2055905	0.0915091	0.818
chr8	109675375	109676850	2400003C14Rik	-	1	cassetteExon_10851	1	0	955	160	218	149	0.045127038	1	1	NA	1	CA-9798-30838-31548-31739-32226[INC][1/96]	NMD_in	0.307055	0.204623	0.533
chr14	67028864	67038972	Ppp2r2a	-	1		1	1	866	71	8907	458	0.033575482	1	1	NA	1	CA-5520-50497-51412-51483-65977[INC][9/92]	NMD_in	1.07831	2.3345	0.000166
chr10	116527826	116581500	Cnot2	-	1		1	1	32277	143	21083	115	0.968267108	1	1	1	1	CA-sr-chr12f-2853[INC][1495|1416/2]	NMD_in	0.6232475	2.57008	0.00357
chr10	116527826	116549175	Cnot2	-	1		1	1	11754	58	9271	2153	0.412106538	1	1	NA	1	CA-4848-38281-54243-54301-70901[INC][4/182]	NMD_in	1.398445	2.172	4.82E-07
chr3	106482627	106487048	Dennd2d	+	1	cassetteExon_7059	1	0	351	98	3710	0	0	1	1	NA	1		NMD_in	0.08059	-0.500545	0.555
chr11	106173678	106187180	Strada	-	1	cassetteExon_1924	1	1	2481	58	10780	171	0.504551989	1	1	1	1	CA-92335-16637-18275-18333-30862[INC][101/72]	NMD_in	0.767645	2.22684	0.00807
chr17	81055774	81065067	Thumpd2	-	1		1	0	894	124	8006	23	0.138138138	1	1	NA	1		NMD_in	0.0549327	-0.0924634	0.78
chr4	116040068	116044839	Nsun4	-	1		1	0	1484	100	2871	3	0.004834811	1	1	NA	1		NMD_in	0.1567325	-0.213	0.61
chr13	112869010	112873061	Skiv2l2	-	1		1	0	3431	131	221	0	0.000475059	1	1	NA	1		NMD_in	0.0430678	-0.0854091	0.79
chr4	59003192	59017822	Dnajc25	+	1		1	1	10074	224	3814	75	0.448179272	1	1	NA	1		NMD_in	0.8567175	1.89984	0.00764
chr10	40056486	40077017	Slc16a10	-	1		1	0	8904	32	10997	43	0.324840764	1	1	NA	1	CA-117247-93088-108715-108747-122014[INC][1/13]	NMD_in	0.535457	1.3739	0.223
chr14	104510301	104522615	Rnf219	-	1		1	0	502	41	11560	0	0.005635567	1	1	NA	1		NMD_in	0.072472	-0.232214	0.719
chr11	86535410	86544768	Rps6kb1	-	1		1	1	520	115	8470	980	0.285806702	1	1	NA	1	CA-6198-3244-3714-3843-20480[INC][3/73][UPT]	NMD_in	0.935915	1.93056	0.00246
chr18	35739350	35740402	Tmem173	-	1	cassetteExon_5032	1	0	292	90	347	2	0.990990991	1	1	NA	1		NMD_in	-0.1307325	-0.374167	0.803
chr17	71642704	71648859	Wdr43	+	1		1	1	314	89	5536	17	0.00681302	1	1	NA	1		NMD_in	1.002765	2.20466	0.000662
chr3	108208916	108210466	Atxn7l2	-	1		1	0	627	129	493	1	0.018087855	1	1	NA	1		NMD_in	0.8765	1.25298	0.00726
chr3	108208439	108210466	Atxn7l2	-	1	cassetteExon_7070	1	0	1249	179	411	190	0.196357013	1	1	NA	1	CA-sr-chr1f-4484[INC][5|19/179]	NMD_in	0.89163	0.57635	0.00115
chrX	48263476	48272919	Utp14a	+	1		1	0	5221	68	3878	0	0.001690413	1	1	NA	1		NMD_in	0.075362	0.452261	0.807
chr10	20325929	20328207	Bclaf1	+	1		1	1	1064	228	710	381	0.033697281	1	1	NA	1	CA-9774-17320-18662-18889-19664[INC][1/62]	NMD_in	1.430935	2.51909	2.04E-07
chr10	20332085	20333572	Bclaf1	+	1		1	1	134	162	834	488	0.057400688	1	1	NA	1	CA-9774-23415-23548-23711-24512[INC][11/59]	NMD_in	2.05857	2.65798	6.49E-15
chr10	20339708	20344629	Bclaf1	+	1		1	1	130	81	3925	1	0.999801272	1	1	1	1		NMD_in	1.107823	1.58015	0.000147
chr5	147488110	147519752	Pan3	+	1	cassetteExon_8790	1	1	14826	118	16302	414	0.300807537	1	1	1	1	CA-255967-84873-104073-104191-120786[INC][1/8]	NMD_in	1.180415	2.40838	2.69E-05
chr14	76532809	76550054	Serp2	-	1	cassetteExon_3345	1	0	9927	149	6659	291	0.011453269	1	1	1	1	CA-387923-8872-19515-19737-26430[INC][3/5][DNT]	NMD_in	0.211419	0.174286	0.685
chr14	99098682	99099768	Dis3	-	1	cassetteExon_3368	1	0	259	68	278	179	0.316164384	1	1	1	1	CA-22894-3602-3850-3918-4203[INC][8/82][UPT]	NMD_in	0.3050725	1.52432	0.318
chr17	80044493	80048680	Hnrpll	-	1		1	1	3585	83	374	930	0.102531715	1	1	NA	1	CA-92906-24124-28034-28117-28504[INC][1/41]	NMD_in	1.795955	2.56068	1.67E-11
chr3	116603461	116605276	Sass6	+	1	cassetteExon_7096	1	0	742	83	849	2	0.005192108	1	1	NA	1		NMD_in	-0.00515	-0.0401852	0.821
chr9	13836102	13836972	Fam76b	+	1		1	1	475	58	120	222	0.147843431	1	1	1	1	CA-143684-13184-13655-13713-13833[INC][3/8]	NMD_in	2.02988	2.60416	1.63E-14
chr9	110098728	110109121	Dhx30	-	1		1	1	1056	29	9081	1070	0.142166221	1	1	1	1	CA-22907-18209-19327-19356-27438[INC][14/26]	NMD_in	0.60399	1.5447	0.127
chr10	85907275	85910408	Prdm4	-	1	cassetteExon_1141	1	0	1863	64	225	7	0.009623549	1	1	NA	1		NMD_in	0.104575	0.280762	0.799
chr6	113104934	113106141	Setd5	+	1		1	1	543	97	155	312	0.07668566	1	1	NA	1	CA-sr-chr3f-166[INC][7|5/714]	NMD_in	1.782425	2.02412	1.03E-11
chr6	113104934	113109990	Setd5	+	1	cassetteExon_9204	1	1	795	225	3743	638	0.819774011	1	1	NA	1	CA-55209-34291-35108-35333-39126[INC][2/9]	NMD_in	1.72609	2.68812	1.52E-10
chr17	66091863	66101495	Ndufv2	-	1	cassetteExon_4823	1	0	340	97	9048	28	0.00176193	1	1	NA	1		NMD_in	-0.1088405	-0.0836562	0.837
chr2	32278815	32280803	Swi5	-	1		1	0	198	284	1095	152	0.003561144	1	1	NA	1		NMD_in	-0.0575283	-0.0859789	0.83
chr7	98706996	98710233	Prkrir	+	1		1	1	819	95	2094	1423	0.165912605	1	1	NA	1	CA-5612-17985-19404-19499-22773[INC][5/18]	NMD_in	0.973745	1.82072	0.00164
chr17	35901982	35904176	Atat1	-	1		1	0	1669	83	301	81	0.01986755	1	1	NA	1	CA-sr-chr6f-839[INC][7|2/1999]	NMD_in	0.530827	0.763786	0.257
chr13	111440631	111448999	Gpbp1	-	1		1	0	5526	86	2504	9	0.010351967	1	1	NA	1		NMD_in	-0.12252	0.108321	0.838
chr12	57306010	57307464	Mipol1	+	1		1	0	335	114	772	0	0.000856898	1	1	NA	1		NMD_in	0.2376925	0.154079	0.639
chr10	30566425	30587595	Trmt11	-	1		1	0	19567	111	1254	75	0.098591549	1	1	NA	1	CA-60487-16184-23412-23525-24962[INC][1/13]	NMD_in	0.521255	1.23911	0.264
chr3	152420014	152446937	Zzz3	+	1	cassetteExon_7251	1	0	2477	154	24027	181	0.86240973	1	1	1	1	CA-sr-chr1r-4749[INC][59|33/19]	NMD_in	0.3970725	1.67012	0.217
chr3	152422617	152446937	Zzz3	+	1	cassetteExon_7252	1	0	4505	1556	17966	231	0.889261745	1	1	1	1	CA-26009-46210-52253-53809-101003[INC][3/4]	NMD_in	0.830795	1.39887	0.0153
chr7	132864962	132875017	Fam175b	+	1		1	0	6518	67	3188	1	0.999312006	1	1	1	1	CA-sr-chr10f-3113[INC][7|991/24]	NMD_in	0.1286115	0.828043	0.721
chr18	84873139	84877861	Cyb5	+	1		1	0	3664	19	974	3	0.000201017	1	1	1	1	CA-1528-34102-38163-38187-39241[INC][4/130]	NMD_in	0.1321525	1.06143	0.613
chr13	115049282	115101957	Itga1	-	1		1	0	12509	257	39301	0	0.064615385	1	1	1	1		NMD_in	0.87193	0.520424	0.00138
chr3	105731955	105737898	Rap1a	-	1		1	0	2575	115	2993	61	0.012201491	1	1	NA	1	CA-5906-87704-89880-89995-92366[INC][3/102]	NMD_in	0.6160875	0.853237	0.141
chr13	47088476	47098343	Dek	-	1		1	1	4941	96	4502	54	0.005995935	1	1	NA	1		NMD_in	0.805803	2.12612	0.0079
chr11	95384903	95386616	Slc35b1	+	1		1	0	687	104	606	2	0.999655053	1	1	1	1	CA-10237-3191-3852-3956-4611[INC][27/1][UPT]	NMD_in	0.0719975	0.986314	0.645
chr5	108650816	108652509	Dgkq	-	1		1	0	395	107	923	65	0.050655542	1	1	NA	1		NMD_in	-0.2215125	-0.568457	0.769
chr2	65717387	65726448	Scn2a1	+	1	cassetteExon_5864	1	1	1070	84	7306	15	0.001295633	1	1	NA	1	CA-sr-chr2f-4367[INC][17|6/7436]	NMD_in	1.1146775	1.82936	0.000147
chr6	119594784	119620409	Erc1	-	1	cassetteExon_9274	1	1	1398	67	23872	508	0.905444393	1	1	1	1	CA-23085-420010-422151-422216-456324[INC][10/26]	NMD_in	0.82662	1.9695	0.00939
chr2	91202920	91203696	Acp2	+	1		1	0	217	55	280	0	7.93E-05	1	1	NA	1		NMD_in	0.1331625	-0.369833	0.555
chr11	120346910	120347875	Actg1	-	1		1	0	99	45	142	131	0.010049807	1	1	NA	1	CA-71-3964-4063-4104-4240[INC][10/7839]	NMD_in	0.151403	1.18033	0.541
chr11	87380831	87388679	Rad51c	-	1	cassetteExon_1793	1	0	291	80	7355	58	0.099025974	1	1	NA	1		NMD_in	0.9322825	0.878556	0.0013
chr3	89340400	89340937	Adam15	-	1		1	0	86	64	240	1136	0.215510204	1	1	NA	1	CA-sr-chr1f-5557[INC][52|64/551]	NMD_in	0.8870205	0.839714	0.00282
chr5	8082145	8092406	Adam22	-	1	cassetteExon_8113	1	0	917	58	9095	5	0.001366354	1	1	NA	1		NMD_in	1.0491425	1.30353	0.000324
chr10	78037872	78039742	Aire	-	1	cassetteExon_1092	1	0	100	58	1518	0	NA	1	1	NA	1		NMD_in	-0.0738	-0.156105	0.826
chr11	88841168	88845865	Akap1	-	1	cassetteExon_1802	1	0	562	107	2287	23	0.005841121	1	1	NA	1	CA-sr-chr17f-3121[INC][24|25/1972]	NMD_in	0.6980825	1.34586	0.0741
chr19	53851176	53853635	Rbm20	+	1	cassetteExon_5520	1	0	537	46	1104	0	0.013452915	1	1	NA	1		NMD_in	0.2988685	-0.2566	0.313
chr1	55206335	55226533	Rftn2	-	1	cassetteExon_140	1	0	14859	112	4534	145	0.918516437	1	1	1	1		NMD_in	0.154379	0.2185	0.759
chr2	145822299	145844903	Rin2	+	1		1	0	244	152	21949	158	0.332247557	1	1	1	1	CA-54453-51679-51918-52087-73094[INC][1/11]	NMD_in	0.215695	1.05637	0.603
chr2	39008138	39013899	Arpc5l	+	1		1	0	4792	71	535	503	0.937050247	1	1	1	1		NMD_in	0.166027	0.861708	0.7
chr7	126149233	126153279	Xpo6	-	1	cassetteExon_10229	1	1	3288	34	143	96	0.0502693	1	1	1	1	CA-sr-chr16r-2095[INC][5|182/2338]	NMD_in	0.89066	2.06255	0.00353
chr1	75477244	75479136	Chpf	-	1	cassetteExon_228	1	0	379	143	451	415	0.116038164	1	1	NA	1		NMD_in	0.1428925	0.124596	0.754
chr11	3717096	3722194	Osbp2	-	1	cassetteExon_1305	1	0	4113	193	579	0	1	1	1	1	1		NMD_in	-0.3467655	0.385774	0.568
chr8	105779826	105782302	Ranbp10	-	1		1	0	110	103	2055	54	0.028734144	1	1	NA	1		NMD_in	0.3423025	0.633676	0.566
chr3	90262450	90263357	Crtc2	+	1	cassetteExon_6961	1	0	199	67	190	731	0.600982533	1	1	1	1	CA-200186-12542-12756-12823-13012[INC][1/19]	NMD_in	0.2203238	0.384955	0.713
chr9	108581841	108582943	P4htm	-	1		1	0	667	98	77	332	0.057184128	1	1	NA	1		NMD_in	0.2627655	0.686394	0.672
chr6	108065045	108077120	Setmar	+	1	cassetteExon_9194	1	0	7727	153	2586	2	0.003416856	1	1	NA	1		NMD_in	0.505324	0.379667	0.216
chr6	143072542	143078461	5730419I09Rik	-	1	cassetteExon_9466	1	1	4475	125	968	154	0.282509257	1	1	1	1	CA-sr-chr12r-3998[INC][1876|29/479]	NMD_in	1.113855	2.16019	0.000127
chr10	89745237	89772749	Uhrf1bp1l	+	1	cassetteExon_1164	1	1	10132	134	17032	430	0.179755102	1	1	1	1		NMD_in	0.603659	1.77502	0.0865
chr7	101896415	101898071	3200002M19Rik	+	1		1	0	1282	85	124	236	0.922698985	1	1	1	1	CA-25906-3127-4280-4365-4490[INC][38/1][UPT]	NMD_in	0.3105585	0.965286	0.572
chr1	171125269	171126210	1700009P17Rik	+	1		1	0	356	187	140	6	0.019556714	1	1	NA	1		NMD_in	-0.0628432	-0.221565	0.814
chr12	98774244	98783702	Zc3h14	+	1	cassetteExon_2343	1	1	4788	160	4314	23	0.268464703	1	1	1	1	CA-sr-chr14f-1994[INC][851|3/587]	NMD_in	0.7309525	2.08668	0.0166
chr4	95696959	95738917	Fggy	+	1		1	0	35185	268	6260	1	0.004342677	1	1	NA	1		NMD_in	-0.1055325	-0.120856	0.835
chr3	138472150	138473987	Metap1	-	1		1	0	550	77	987	14	0.003001138	1	1	NA	1		NMD_in	0.0624949	-0.0230769	0.79
chr5	115648174	115651939	Ccdc64	-	1		1	0	554	109	1586	355	0.935248518	1	1	NA	1	CA-92558-103228-104067-104176-106156[INC][1/11][DNT]	NMD_in	0.095312	2.20753	0.00969
chr7	141998632	142000889	Brsk2	+	1	cassetteExon_10387	1	0	197	95	1827	1303	0.727287854	1	1	1	1	CA-9024-69789-70056-70151-72293[INC][13/15]	NMD_in	0.337355	1.54038	0.303
chr8	109709410	109721343	Zfp821	+	1		1	1	8234	145	3288	3	0.999630678	1	1	1	1	CA-55565-7284-19153-19298-22142[INC][8/9]	NMD_in	1.0918725	2.291	0.000145
chr2	121143148	121150346	Adal	+	1	cassetteExon_6250	1	0	2823	88	4099	84	0.935185185	1	1	1	1		NMD_in	0.232745	0.94369	0.641
chr10	53633365	53635434	Fam184a	-	1	cassetteExon_923	1	0	836	94	586	59	0.060894386	1	1	NA	1	CA-79632-190433-191330-191425-192009[INC][3/30][DNT]	NMD_in	0.5306775	1.54391	0.187
chr17	23811638	23812620	Srrm2	+	1		1	1	85	261	350	132	0.11965812	1	1	NA	1		NMD_in	1.4349475	1.92523	1.61E-07
chr14	57839089	57840918	Zdhhc20	-	1		1	1	1233	45	345	200	0.073368607	1	1	NA	1	CA-253832-79450-80424-80469-80820[INC][3/8]	NMD_in	0.65918	2.0988	0.0258
chr4	21936632	21982502	6230409E13Rik	+	1	cassetteExon_7317	1	0	11923	197	33497	897	0.708089599	1	1	1	1	CA-84553-9758-19108-19305-60835[INC][1/2]	NMD_in	0.028647	1.06117	0.575
chr13	63815333	63824928	0610007P08Rik	+	1	cassetteExon_2790	1	0	4113	425	4753	12	0.97731569	1	1	1	1		NMD_in	0.24971	0.8495	0.657
chr13	63834595	63841585	0610007P08Rik	+	1		1	0	6103	147	384	68	0.091463415	1	1	NA	1		NMD_in	0.114585	0.0190204	0.757
chr3	35839048	35849564	Atp11b	+	1		1	0	4356	126	5737	1509	0.761630203	1	1	1	1	CA-sr-chr3f-4717[INC][19|372/158]	NMD_in	0.5064085	1.81824	0.119
chr7	132610638	132630669	Lhpp	+	1		1	0	6379	117	13155	8	0.00307581	1	1	NA	1		NMD_in	-0.1616	-0.268333	0.824
chr19	53384453	53389422	Smndc1	-	1		1	1	2746	184	1776	107	0.039757767	1	1	NA	1	CA-10285-4482-7213-7403-9159[INC][4/61]	NMD_in	1.0277825	2.39223	0.000289
chr9	108796060	108797436	Ip6k2	+	1		1	0	258	129	423	915	0.372608258	1	1	1	1	CA-51447-25189-25454-25585-26038[INC][14/42]	NMD_in	0.930765	0.873476	0.00132
chr6	18849625	18851763	Naa38	+	1		1	0	1244	91	634	1	0.000268384	1	1	NA	1		NMD_in	0.022239	-0.00546667	0.814
chr4	155661105	155668730	Mib2	-	1		1	0	1404	156	5639	697	0.903335414	1	1	NA	1	CA-sr-chr1f-131[INC][2|10/1488]	NMD_in	0.110705	0.333769	0.798
chr4	141843670	141845272	Ctrc	-	1	cassetteExon_7982	1	0	83	98	1204	0	NA	1	1	1	1		NMD_in	-0.269218	-0.04925	0.803
chr1	118545392	118548028	Clasp1	+	1		1	1	2199	14	195	0	0	1	1	NA	1		NMD_in	0.6143945	1.7798	0.0806
chr15	58150605	58158152	Wdyhv1	+	1	cassetteExon_3533	1	0	2923	125	4197	76	0.923923924	1	1	1	1		NMD_in	-0.0952261	0.285548	0.828
chr8	78697165	78729763	Slc10a7	+	1	cassetteExon_10700	1	0	1188	52	31046	1	0.997621879	1	1	1	1		NMD_in	0.000788	0.733706	0.746
chr16	3909038	3911562	Cluap1	+	1	cassetteExon_3865	1	0	1996	125	176	3	0.004475579	1	1	NA	1		NMD_in	0.04654245	0.0105366	0.805
chr7	3705732	3706897	Rps9	+	1		1	0	88	174	469	762	0.02081143	1	1	1	1	CA-6203-8605-8695-8867-9540[INC][68/1875][DNT]	NMD_in	-0.399377	0.601414	0.328
chr2	23537460	23543324	Spopl	-	1	cassetteExon_5642	1	1	1581	97	3880	295	0.25	1	1	1	1	CA-sr-chr2f-3985[INC][48|48/747]	NMD_in	0.5870125	2.13566	0.0324
chr19	46924261	46950965	Nt5c2	-	1		1	1	13472	82	12956	0	0.003874604	1	1	1	1		NMD_in	0.80013	1.627	0.0206
